timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_size
2026-04-19 19:52:03,192.168.1.25,192.168.1.15,TCP,62709,22,92
2026-04-19 19:42:05,192.168.1.114,1.1.1.1,DNS,61408,53,77
2026-04-19 19:42:02,192.168.1.114,1.1.1.1,DNS,58158,53,72
2026-04-19 19:52:00,192.168.1.25,192.168.1.15,TCP,61087,22,97
2026-04-19 19:29:18,192.168.1.13,1.1.1.1,DNS,50332,53,91
2026-04-19 19:30:09,192.168.1.248,8.8.4.4,DNS,56193,53,93
2026-04-19 19:36:46,192.168.1.119,192.168.1.1,HTTP,60625,80,272
2026-04-19 19:23:43,192.168.1.197,8.8.4.4,DNS,55564,53,62
2026-04-19 19:42:01,192.168.1.114,8.8.8.8,DNS,62564,53,84
2026-04-19 19:32:55,192.168.1.71,192.168.1.1,HTTP,61348,80,445
2026-04-19 19:25:35,192.168.1.231,8.8.4.4,DNS,60303,53,89
2026-04-19 19:24:38,192.168.1.177,8.8.8.8,DNS,61564,53,87
2026-04-19 19:29:49,192.168.1.238,1.1.1.1,DNS,50013,53,114
2026-04-19 19:47:02,192.168.1.83,25.163.96.145,TCP,62233,6666,762
2026-04-19 19:38:48,192.168.1.206,192.168.1.87,TCP,45208,22,111
2026-04-19 19:33:00,192.168.1.179,192.168.1.1,HTTP,62056,80,467
2026-04-19 19:38:34,192.168.1.170,192.168.1.1,HTTP,54593,80,201
2026-04-19 19:38:46,192.168.1.206,192.168.1.51,TCP,44672,22,149
2026-04-19 19:42:04,192.168.1.114,8.8.8.8,DNS,54399,53,76
2026-04-19 19:34:12,192.168.1.164,192.168.1.1,HTTP,52674,80,555
2026-04-19 19:23:38,192.168.1.177,1.1.1.1,DNS,60083,53,64
2026-04-19 19:36:52,192.168.1.147,192.168.1.1,HTTP,54126,80,582
2026-04-19 19:23:01,192.168.1.46,8.8.8.8,DNS,64011,53,66
2026-04-19 19:42:09,192.168.1.114,8.8.8.8,DNS,64964,53,82
2026-04-19 19:28:40,192.168.1.236,8.8.8.8,DNS,58286,53,105
2026-04-19 19:26:31,192.168.1.51,8.8.8.8,DNS,54533,53,77
2026-04-19 19:42:07,192.168.1.114,8.8.8.8,DNS,58980,53,70
2026-04-19 19:37:58,192.168.1.32,192.168.1.1,HTTP,58260,80,335
2026-04-19 19:38:47,192.168.1.206,192.168.1.79,TCP,46193,22,123
2026-04-19 19:38:44,192.168.1.206,192.168.1.27,TCP,49452,22,127
2026-04-19 19:28:00,192.168.1.89,8.8.8.8,DNS,64470,53,103
2026-04-19 19:42:03,192.168.1.114,8.8.8.8,DNS,61042,53,104
2026-04-19 19:38:30,192.168.1.56,192.168.1.1,HTTP,64139,80,297
2026-04-19 19:37:38,192.168.1.144,192.168.1.1,HTTP,54797,80,333
2026-04-19 19:31:04,192.168.1.30,192.168.1.1,HTTP,55456,80,580
2026-04-19 19:38:43,192.168.1.206,192.168.1.66,TCP,47979,22,142
2026-04-19 19:38:41,192.168.1.206,192.168.1.28,TCP,47128,22,124
