timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_size
2026-04-16 10:00:01,192.168.1.10,8.8.8.8,DNS,53001,53,90
2026-04-16 10:00:02,192.168.1.10,8.8.4.4,DNS,53002,53,88
2026-04-16 10:00:03,192.168.1.50,192.168.1.100,TCP,40001,22,120
2026-04-16 10:00:04,192.168.1.50,192.168.1.101,TCP,40002,22,125
2026-04-16 10:00:05,192.168.1.50,192.168.1.102,TCP,40003,22,130
2026-04-16 10:00:06,192.168.1.50,192.168.1.103,TCP,40004,22,128
2026-04-16 10:00:07,192.168.1.50,192.168.1.104,TCP,40005,22,129
2026-04-16 10:00:08,192.168.1.77,45.33.32.156,TCP,52000,4444,700
2026-04-16 10:00:09,192.168.1.77,45.33.32.156,TCP,52001,4444,720
2026-04-16 10:00:10,192.168.1.88,8.8.8.8,DNS,54000,53,95
2026-04-16 10:00:11,192.168.1.88,8.8.4.4,DNS,54001,53,94
2026-04-16 10:00:12,192.168.1.88,1.1.1.1,DNS,54002,53,96
2026-04-16 10:00:13,192.168.1.88,9.9.9.9,DNS,54003,53,99
2026-04-16 10:00:14,192.168.1.88,149.112.112.112,DNS,54004,53,97
